Name,Phone,Addresses,Description,Links,Emails,Type
My Second Chance Inc.,214-374-1104,"1657 S. Corinth St., Dallas, TX",N/A,http://www.mysecondchanceinc.org/
Resource Center,214-521-5124,"5750 Cedar Springs Rd., Dallas, TX",N/A,https://www.rcdallas.org/
